cluster_id,text,post_id,num_posts
post_cluster_0,How is everyone’s day going?,"['8voq6u', 'fi7zg1', '638arm', '7555f1', 'aem2mz', 'ay8bis', '64rir3', '87lv18', '7l2le9', 'bo70zl', 'a54bqq', '5vem33', 'k200nx', 'c0m9qw', 'haagi8', '6tq1fq', '6rcv0j', '6rj1zy', '93fia4', '7kuu2d', '8hgfir', '8eehz4', 'esfj7f', '7bq78x', '8dyvra', '872wuz', 'e66pca', '754cm2', 'hvxr9d', '9i2240', '9tbavr', 'bnvbuz', '7xue36', '6i88wl', '7bddtr', '8y0ebm', 'ght3vn', '7j774e', 'e27dyh', '7prvbq', 'cj20u5', '8ivbq9', '81ztrn', '8suiep', '9czr6y', 'okihsa', '9l3oyr', '5tbpqa', '733ptm', 'dhjmkt', '95mbnz', '80p4fb', 'kmmouw', 'd9d0i2', 'i4f447', '6yxpsd', 'jte7pg', '63x2ks', '7dbcoz', 'b0ana3', '771psf', '6hjuq3', '753cov', '71eeg3', '7f8vdz', '9zhwga', '9g42if', '99xppl', 'a6ielr', 'bnvb6j', '6ud7l9', '64qjoz', 'c4tvo2', '6y2hbn', '702idn', 'ak4d9j', '73ud2n', 'checpv', 'iz5l1l', 'eaio9d', '5vj606', '7re9pw', '64km9y', '7lqq95', 'fgbyq0', '9j5n1y', '8drkw0', 'ayqge1', 'd9h4k6', '7sv0ig', '79e9yv', 'ed9oh1', 'fkf6pk', '6sqtqf', 'gwtbnn', 'd3ftm1', '7dnawv', 'ggoze3', '7wb0zi', 'bu5vww', '67yuoy', 'mjk6p7', 'dklll2', '9b7xgf', 'ff2hek', '9mr376', '6azmkf', 'icl9eu', 'n1l2fl', 'i1g3xe', 'ap1yfw', 'hwpz04', 'i3zjhe', 'ck3ia1', '9atmfg', 'doz15h', '62chsa', 'hn1ewd', 'gr1q6c', 'gu7xu8', '7x3sp9', 'cg5n18', 'cuoq7m', '6rhnxu', '6m5ema', '5ttqct', '6yr5c9', 'hit:3666_conv:7333_uttr:1', 'hit:3024_conv:6048_uttr:1', 'cqv2fn', 'cv9p4b', '6wv27i', 'fgf6jr', '70s78q', '8ec5hx', 'onlec6', 'ghpgpp', 'oa9n3k', 'p0hch0', '7i9ly1', 'g53ohn', '7mjqi2', 'g1k32j', '6f2nzz', '6tj8bu', 'ogib8e', '73uqsw', 'dhssvw', 'brpag3', '84ujol', '7qn1hb', '6q346w', '6hf3fl', 'fcvpx1', '6pbjed', 'f7woyf', 'fp398u', 'cftpc1', '6qqagt', '7350su', 'bv8ybn', '6x4f4x', '6d9m2i', '8od6eq', 'as7ek5', 'jgaj02', '9zqktm', '8kfnq1', 'a2qzgh', '9lnbp1', '6ynkjw', '7o3q2o', 'fbsjb5', '72i6vp', '7lxyy2', 'gcj1b7', 'equef7', 'b74sar', '6xzd0v', '6tlab2', 'gtbimu', 'l0rsp1', '5pupr8', 'btoqho', 'gmzeai', '914dzc', 'bdabpp', '9w07ci', '8o5h0d', '87ownc', 'cm9oag', 'f8d1n4', '5v0cve', '6x1z4s', 'llo2mh', '8nd8a5', '6e7d3a', 'eo2u5h', '7w3wsi', '78pco9', '8fzkum', 'apxh1x', '5n2vyt', '6exd6v', '7bi34h', 'clagiv', 'd0bu8z', '7qd4k9', 'dnr3cw', '7g9ous', '8btrwh', 'fl5h6h', 'blwcw8', '8anzy6', '5s40xe', 'e8lwee', 'g1k1mn', '5y197f', '6u1a2g', '61g2gt', '7tj5o4', '9i5b5z', '75jp3o', 'ln5vkl', 'nvd7cx', '604ovz', '76tx3c', 'deq6ul', '6y4gvs', '77vvny', 'fpx6ix', '6tzmen', '90ysmu', 'jqffgx', '7u4gb8', 'a7ay7v', 'gvjxtg', 'izldg8', '976y6x', 'qqg0oe', 'a9aj3t', 'a998hw', 'c8b5wd', '7fs5kd', 'ar2k2m', '7bz41v', '83knho', '7jm29z', 'etvhcd', 'fir7ex', '946ogw', 'a5oole', 'd44wix', 'aqvile', 'ahsl4p', 'g65ru6', '69vdf2', '768aw0', '7ma21x', '98o6zp', '73wocx', '7d4e43', '8e97fn', 'erqf7m', '71ibid', '85pvbo', '64mlag', '6ppc9n']",268
post_cluster_1,Does anybody want to talk?,"['745ahc', '8rpitj', '8ccu0s', '5xr44k', '6pblh9', 'aouvyn', 'a0faxn', '8fs1fj', 'ichdge', 'l6u4la', 'flgxw8', '75og1m', '6tmws4', 'cirdv4', '74cv6k', 'ggopp6', '85fq6n', '5o25c7', '6mi4cv', '79tksz', '74ktf4', 'f9obmb', 'qircs2', '5xujch', '6q1pi1', '7bvkk7', '7qikwi', 'gd0fs3', 'aik1ip', 'dim1mx', '67ssty', 'b4b1gq', '6gnbbh', '7nsvxx', 'h7wrwe', 'i2lw4h', '88wjp0', '5uq04e', '914gi0', 'eaca35', '737gpr', 'bb4sde', 'i2n7xk', '7fxufw', '6a2c4l', 'qok2ed', 'i2itv6', 'i504a3', 'jyppal', '85f9fs', '7krwxd', '70ifcw', '851vbd', '8k7wc5', 'qp2rxs', '6lb45x', 'f946pi', '7868j6', '7t96of', 'ji95e1', '7vh7lf', '6fk11n', '74dbe1', '8d2eyq', '74k3j8', 'fmf4el', 'fjg0gw', '6wdh2f', 'fon3ue', '5lod46', 'cexnys', '9deu6b', 'g0uov3', '6l462b', 'ffqp2w', '8bm1ra', '77xk46', '6sl35d', 'f6itp7', '651m1v', '6ajjk5', '7mqj5i', 'gn2l6j', 'kl0jwm', '6e47wb', 'afdati', 'lx70zw', 'fkh670', 'fmogq9', '6m50eq', '6peegt', '6psfzr', 'adevwr', 'i3d5pi', 'i3ca7y', 'culace', 'dqu7ig', '914pqn', 'e6bffg', '729l2d', 'a9m767', '7tbrym', 'g1cxxv', 'e0e253', '9299sc', '93rs0t', '6ck6q7', '5u3mbt', '73okv0', 'ooms8x', 'cqfc0q', '70nfa9', 'lwjrsv', 'bqpbji', '6xjqo4', 'fkoui0', 'ehm108', 'ceuaov', 'c8ectb', 'qx82jw', 'frkcop', 'ho8g2h', '88mt0r', 'b7j6d3', 'e0c4fw', '785kzi', 'fjtfoe', '6ch1ei', 'gsbm4a', '9hnrv4', '9nz89j', '6ec30f', 'bc5cuh', '9xdn5w', 'aafma3', 'ef1nwj', '5qt1is', 'itllcv', 'biymyf', '9k4dy5', '6g1btu', '6azgab', 'biaoow', 'chiigo', 'ocd8sm', 'bixjay', '6f2l3i', 'hatjar', '80zfv6', '5leqki', 'kt0eic', '8qh8x0', '94pm5q', 'cimbyx', 'e5ba1m', 'egww6k', 'kinm2d', '6kr6tq', '8j38n6', '8kamlj', '6z7z0i', '76v7x8', '6sqjfe', 'cq3u26', 'fcqrng', 'nl3i4k', '7tdy14', 'qizw1m', '6cd9px', '9vrl4a', '5o8hwc', 'fhw676', '7r7qe0', 'eex6w7', '6ec61l', '5zi2ip', '70ippi', '77hwu2', '9p2zkp', '6rico4', '7p4w81', '9i4yjp', '6ral5c', 'qkpkb0', '6ccwgt', '5wrgh0', 'cidhsi', '7bwxfq', 'lk7ows', '71d0n0', 'fh59mz', 'ejmkgd', '6b6ptu', '68k1n5', '8geljt', '8pi247', 'qwfdom']",197
post_cluster_2,Does anyone else ever feel the same?,"['8mbot2', '5t4cq2', '9gc6r1', '9l0t51', 'fxo8kh', 'ijkrs0', '7kru7w', 'ck1e8g', 'b8k5b2', 'gsz1x8', 'pqs98y', '7tnylk', 'irfsh4', 'capkua', 'gfzlrp', '8h4vm1', 'gszuix', 'dcck0z', 'b0h61w', 'e8u427', 'cyi8x3', '7rtwjf', '8g59xp', 'eg6sxh', 'bb7eoi', 'gv5zra', 'be4e7o', 'ht1gft', '8ouk9q', 'g53cxn', 'gi2aw8', 'g8ukr5', 'qazw8y', '9o7sbc', '89qfwm', 'goytgc', 'fanftl', 'ehy4oz', '93se2e', '5pt4nd', '9r4s8u', 'gs07ot', '8tdimr', '62dznv', '5wel5o', '8723ew', 'qd2435', 'oiic8a', 'gldach', 'h9r9h6', 'bcmk3d', '77ocjy', 'qkkjh1', 'i0jjk7', 'as61aj', '7e4kpl', 'anzr9l', 'cagxm2', 'lnov4f', 'kl3q4b', 'hoqbda', '8u1bb0', '65r5yh', 'e7ho36', 'dn7x6p', 'bqpnpg', 'i1i9s5', 'f2shxu', '7rid6n', 'aawqbc', '7u4p5e', '8wk09s', '9y0i44', '6rmz4d', 'c2ervk', '94llfp', 'c8ey6p', 'fcjuug', 'ftz1mz', 'gjs8i7', 'otjd7i', 'cju89u', 'cbgnvr', 'fchgod', 'cgoa3z', '5sxbop', 'kyq9f3', 'cvu4d1', 'm35tv6', 'aklb20', 'o3la8h', '631cpc', '8dqkm8', 'bkhs7w', '6zjrtg', 'mjcv1y', '8fg3me', '6axgqf', 'ei69f9', '818gpt', '9wiyww', '634amd', '8aqhj5', '7kqlas', 'bg82n2', 'a95t97', 'dizrvp', '6hbnnq', 'cv806d', 'dcdawz', 'gv1fbz', '84tkg4', '7yisdw', 'gvcei0', '7iltuf', '9q8lca', 'kei3gy', '8krybi', '8iufvc', 'k4akdx', 'mg8ghp', '9ky44w', '8ks2ev', '6r2n5u', '8hj9ge', 'c9eqkb', 'qbm9g3', 'ixcqen', 'f9kv04', '67ghsp', '9054w8', '8tdiil', '82qneq', 'cursy4', '77fh5v', '9oj8ev', '7nqhb6', 'df68dk', 'nyq0jp', 'afjsri', 'kmu4fp', '5oxem1', '8kxlz9', '8wc8w3', 'a1tgvd', '5vlfg1', '5xpwmy', 'i71gwc', 'ez08as', 'f7nuwa', 'gnmfqa', 'cp9pw0', 'p293ku', 'bppko3', 'ieddob', '8k03bn', 'c7ixd7', '8doaln', '8gb0g6', 'e27y43', 'm1dl9a', '7w5dq8', '89e5mh', '5wb9se', '7gv01n', '9fcqez', '7dkb57', '8zcg5z', 'ctz7ny', 'agh0vn', '8cky3c', 'e4ptbd', 'acpyep', '8u158n', 'ger8he', '9sd20e', '5swi8h', '9rfmx2', '7z9aso', '9hw6zv', '8s38vd', '7m254i', '6vxac7', '7n7o3t', 'aoeneu', 'm25ue0', '91xp8z', '6wzecb', '8o7y06', 'ak9oxh', 'fhcyov']",191
post_cluster_3,I finally got my first job!,"['benn1f', 'qq5ofe', 'dk5d7u', 'ilivj9', 'fbiyqx', 'hficfc', 'jfqp6q', 'hoe3cg', 'ex5692', 'bohiku', '956mry', '8et6oj', 'klrg5s', '7ux69a', 'ccvi37', 'oc92je', 'f1c4en', '8isgs3', '95sb0u', '6rj7vy', 'abb6ih', 'nm283i', 'abvk9q', '7kbtln', '8ablxu', 'pm6roh', 'odcubz', 'izq8xd', 'huui5r', 'r0giqu', 'gqhueq', 'hysat6', 'dcp25m', 'kuwg39', 'ism0mq', 'hft8m1', 'o1l2fr', 'exfic0', '6w2cf9', '70oc3p', 'hd60p9', 'e0aqh2', 'elhk5s', 'dz4mlx', 'dorwii', 'd8va6c', '6yjhvb', 'cfd4lh', '7ykf03', 'nw5gy8', 'clu0zx', 'kj13gg', 'nk2thr', 'kvv39n', 'g3bcvy', '8vlvcb', '9mk3cq', 'i1nana', 'je2zzg', 'a1unr3', '5nnq2v', 'gvjkk3', 'kepac1', '8lf2ie', 'dzaoov', 'emm8wz', 'cjc3hu', 'fb3a1h', '83hg9v', '951k6y', 'ddwgvk', 'aveza8', 'o3i226', '5sbdxs', 'kd72p1', '63u9gj', '5rnbvn', 'cz64fg', 'ch12r8', 'dkfwv3', 'he5auy', '6i0jlk', 'gvkqu7', '80vy2o', '9tfzye', 'fpiqas', 'bw3bgz', '8bmuqz', 'd1bzj7', 'cmu3n0', '7f06in', '7zq6ds', 'jx60ae', '5w0mm0', '9scwn1', 'lgoog1', 'c39juv', 'azbotl', '6bik38', 'ci4f8x', 'o91t14', '9dq4pv', '7bi4ba', 'e6di0k', 'pos0ft', 'cntgst', 'd8do0x', 'c3pctj', 'e790fm', 'hit:1202_conv:2405_uttr:1', 'ljf8qw', 'p9vcdb', 'ilcd3g', 'gibuaz', 'jf4k3g', 'hit:574_conv:1148_uttr:1', 'gsdb7w', 'pc7rfh', '6gtndd', 'kwznyu', 'hfete3', 'kfrcpw', '88zf5a', 'nsahmt', 'iyhgbw', '7fo7qc', '9bbfwi', 'fdzgmg', 'dnkgk2', 'eplp19', 'hsruer', 'hwfqiw', '6eytti', 'kaqijk', 'an7qxp', '77flbe', 'c71o5n', '6maq1p', '73d677', '8npk44', 'gv1chl', '7dp1hb', '5uqqfy', 'glwhvs', 'fta143', 'bbqmr0', 'c92gdq', 'hit:2013_conv:4026_uttr:1', 'nvife3', 'aw99k0', 'ciakr8', 'lgysno', 'fjnduq', 'a64yad', 'e5ah21', '7kxg6o', 'cx19pj', 'p1cf1t', 'ae0zud', 'bj8cav', 'cvk1cd', 'ekvbhn', 'l87kdi', 'j3lj4b']",164
post_cluster_4,Let's chat.,"['6tivnq', '6zqggi', '6s1shl', 'mkgp0e', 'eyffxr', '5ou2ui', '7tiat0', '7a3hk1', '75v09h', '7pskra', '6wkinr', '74zsas', 'cnr9k7', '6lk1ag', '930hqf', '61co2e', 'f84fh3', 'dckbyc', '69crm0', 'f9ffwm', '5u7zgt', '8cgict', 'bfwfwl', '635tz7', 'fv5yuf', '8b2h2o', 'bgphuo', '79sxeu', 'd6fncf', '7o8qjc', 'o36yeh', '7nbe09', 'k27xyb', '8kiesh', '9615bs', '987e2e', 'fvppfo', 'n237lq', '71qofk', '5w5ws1', 'edx0h9', '5rha5i', '7srf3q', '63vxf0', 'd080lw', '5yur6r', 'bk7fqu', '5xwns0', 'jn9jh0', '6d7qc8', '7hw2tz', 'i9pr7m', '78bezm', '7qns2y', 'crrqtp', '7doplp', '7azdxd', '619qz8', '7ik71c', '5tvg8u', 'hhn03r', '73gmkh', '6lbl8d', '9102hx', '61ao7o', '5v7p9a', 'gu1so1', '6lhgn6', '61jex3', '93br4e', '653nbm', 'cftob9', '73vqs2', '6qwzq4', '6gcom6', '8pjuro', '7cc3th', '63q054', '903r9u', '62fzld', 'g8545x', '8mxikk', 'foi7ea', '7xgkqv', '74yltm', 'g8unyr', 'ecpaz3', '6kmu2h', '9kruh9', '6ptytm', '70hutq', '71pmc2', '73r7qa', 'auhjiy', 'b6dnj6', 'd2msue', '6kpiq7', '6e5d7a', '77e8km', 'eg57c1', '6p0r87', 'ecur08', '8x3v7t', 'f8aya1', '80et6g', 'apdnwd', '7bg3jk', '9idpnj', '81dwnk', 'a06aeh', '7zulkm', 'judeoj', '9vqrjj', '73bq6e', '64xzsp', 'p5p4oc', '91yii4', 'fs9510', '79895s']",119
post_cluster_5,I'm feeling lonely,"['5p8vlr', 'edzcdj', '6wn2q1', '6ayp6a', '79f4i9', 'cu4npc', 'bfa82o', 'ftiobq', '93abgp', 'bjwey6', '8ishmt', 'd6f5on', 'a569h7', 'ewdabu', 'fna1pj', '6w58nt', '8nnqya', 'oqjh7r', 'e0bxk3', 'qu48aw', 'a8yecl', 'bbgau0', 'f478s6', 'endlre', 'e8uvwc', '6z64jy', 'aylt5t', 'qnaer9', '5s4ssu', 'bxkh5b', '64dpgy', '72aqlh', '5sg3qn', 'jpx1tx', '6t2w2i', '5osaps', 'm267le', '9al61d', 'hyemnz', 'lisfnf', '7g1tau', 'cykyfs', 'f30b7b', '7s3l6e', '7ms61w', '8t9vn3', 'f2g4sc', 'ell4ml', 'f7fx80', '8gbsgs', 'i756v4', '7rncer', 'ca0ubu', 'bw1dki', 'bjjjcy', 'ez2ibi', 'adbgjh', '9fwziz', 'bht521', 'mldntw', 'gh8s43', 'hit:2360_conv:4721_uttr:1', '6z26hb', '7ihpib', '7ihmw7', '7liywa', '7dpw6y', 'doj0yz', '8khiwi', 'kyw8d2', '88qefn', 'dd89js', '861hkm', 'cytllg', '6aamzs', 'f1ct3a', '5v6aoz', 'l96htw', 'p9hqcr', '9mzxl3', 'dqtw8m', 'hw7syf', 'qb1v7g', '9iyag2', 'cfz9y8', '78d1a5', 'hsrjme', '79crwk', '77uthf', 'ak9rah', 'ggv5zj', '88fzws', 'f7fhxr', 'flptoo', '6rqnnm', 'cho26j', 'ao6mfm', '6p3h7q', '5ynogi', 'fbt3ne', '9lbypc', '81fqgd', 'kb7rua', 'hit:5754_conv:11509_uttr:1', 'odkgod', 'in6gdc', '9un89l', '74z9gm']",108
post_cluster_6,I just kinda want to talk to someone.,"['7pdq2v', 'jn5qb1', '9okivy', 'd59ukp', '9207bz', '8jly1e', 'e0h5aa', 'dzxnfy', '9y6ada', 'fuhzi4', '8lswfa', 'jhkpmp', 'c7g4qq', 'gslov1', '8sn6rd', '77yvq4', 'qu7ku8', '8u7rl5', 'mvdkye', '78sn8e', '907hub', '6vn4sf', 'gep0y7', '5xg040', 'ixta78', '7q93tj', '7xmmi8', 'la8jzo', '6saauz', '910of5', 'nqwnay', 'gqrynu', '89wx53', 'mru2wi', 'aik9jf', 'd09r3z', '7kxr26', '7pzg82', 'a006q5', 'frh0t5', 'h9sp90', 'gd25f5', 'girwp1', '6qgr5d', 'ia35hw', 'dogqug', '67t8bt', 'ch0qaq', '70opw5', 'hkdrj0', 'cfed6i', 'fb8oba', '8e0ely', '754xwy', '70s37x', 'fulrio', '5vydo3', '6vmhbi', 'f8m8xq', 'fomj4f', '73plvn', '8jzjuh', '8tfgq9', '8gp6iy', '6rtuis', '6hny1i', 'a6b8pp', '5w9bic', 'fy5c1f', 'ob1grd', '7ks2bs', '90kqvi', 'f9l75l', 'f8g3wd', '9hmnht', '9vj1k9', '6qiivx', 'ftig3v', 'kkh82x', '8pmgw4', '6jm0b0', 'el54lx', 'artv6m', 'bda8ow', 'aw5tsa', 'e856um', '9b5280', 'd09lsu', 'frlyil', 'nekjo4', '8mmj0m', '7a7skq', 'es7cfg', '61krs1', 'crxlvh', 'g6bzn3', '5upzmo', 'fkj5ua']",98
post_cluster_7,I got accepted into university!,"['enfrq8', 'cbvrln', 'nm84r2', 'cqw5tl', 'jx8c4w', 'ay88ch', '5vjegj', 'jph50n', '8kcph6', '8mngbg', 'ev45v2', 'artilx', '5rxiii', '79phay', '8849bj', '5nypcm', 'ho84f6', '9c0cln', 'fsk2mi', 'mn918u', 'aig7ou', 'fdoy7x', 'a8hmoj', '7kb8k2', 'ahfsls', '5opsi9', 'ej8j69', '5uj50p', 'bcitkd', '7w21nd', '6rlx1t', '7jduu7', '5u72mi', 'bg7fs9', '7luchr', 'fdb3c7', 'allt9i', 'e02rsy', '7p0ovm', 'fmkxhq', '6pzua9', '65am23', 'qx2fiw', 'ae1itl', 'ha6wvb', 'alwjkw', 'e5699e', '91lk22', 'akpyov', '675zs0', 'hvwd4u', 'dz7hm8', 'qzhok6', 'aq4lit', '863356', '72wsla', 'f3ig86', 'jjuptp', '7k516r', 'f63eg4', 'acuve0', 'b49d4v', '8iqn1y', '5svfg0', 'drpsyz', 'b2klrx', '5stjl7', 'dzqa28', 'fao1wm', '6sgidi', 'd3wvbe', 'ghgi9w', '7dq6w4', '7fsfpk', '9e83r3', '7gass6', 'f9c19m', 'd49f3i', '7li7kr', '9drq4v', 'k06pyb', 'hit:5393_conv:10786_uttr:1', 'gukmr2', '5wpo39', 'bxoizk', 'faghzl', 'djha0p', 'hit:800_conv:1601_uttr:1', 'eeinq4', 'i39j99', '7oo7r1', '6fh6n4', 'kg0vqf', '8h172b', '6j0fdj']",95
post_cluster_8,How does one make friends?,"['inydl9', 'ho1wh8', '741v41', 'gqpl76', '6dp033', '9piq8o', 'p9tn1b', 'qukbo3', '9yucx5', '70i4h2', 'pt8yuv', 'hrh0qa', 'dxmcwc', 'isow0k', 'm30297', 'dwfme4', 'm5bfp5', 'i5zo8l', '811d45', 'dd6g9a', 'oprmbo', '6mgqyh', '7khuar', '9jpfr9', 'fizslv', '7ogfay', '9pgdh2', '62q2j3', 'j2zw04', 'ov4e3g', 'cmucqv', 'ey46mt', 'qaldcl', 'aowyor', 'f7ldqu', 'ceo7f6', '9wv76z', '86yv6a', 'b70fdl', '6jo32k', 'fl0m26', '7xa5b0', '8v4e37', '6phj5r', 'aqum2y', 'lxl31a', 'outo58', 'adp0t3', 'ahteoj', '8sx1zr', '8faqe1', 'jqc49c', '91u72w', 'cv0se1', 'cnlfgd', 'cnxi7i', 'cz2ivx', 'bhnbzb', 'depbgq', 'g6g2gf', '8q1dtz', '6rkm58', 'ae0wb5', 'gjsryb', 'q7ff5h', 'bu96gp', 'p9a3jm', '7o1eec', 'akbd4h', 'af765m', '5zo3yp', 'ar5lur', '8rqc62', '97kj89', '99a1h5', '876k2p', 'k3r6g6', '9xmvvf', 'fu11qu', '9783n6', 'f9q0b0', 'db75q4', '9dw4mo', 'a19y7t', 'dq7ayg']",85
post_cluster_9,What are you doing today?,"['fn3ltx', '9xbxvn', '6r30sr', '8az5bz', 'iho0g0', '8k26yb', '9lplz2', '9cxvma', '814r8d', '6qa14t', 'pxb2vm', '617ymn', 'a8kp7x', '8vvkj0', '5zbzb8', '61mewq', 'ggplxd', '6ikfyh', '9992q4', '7fco9o', '8g26xa', '7z8est', '72jpkz', '6vtszb', '7664fa', '8hu576', 'fojdgg', '5xb9pi', '6t1b1b', '7ccmsu', '9rcn0o', 'glxi0v', '8dxkfc', '6jb68v', '9jfx1s', '5m0ovs', '75q88e', '6qdcpb', '6io233', 'brk5ru', '8sqnia', '9k1vn9', '7dq6go', 'dqrwms', '79hi1m', 'cfkgjn', '71lizb', 'au83fw', 'qep1kx', '9w6dh5', 'a0cbq1', '8yqk2p', '8x29kh', 'd7jpsj', '6cjb2n', '6r985f', '6ujm06', 'bcme1y', '7t9u2p', '7wcqtb', '79c4ci', '6f1bua', '6lix2s', 'b8rwdz', '88jb09', '6fauus', '6tjgmw', 'cabqvf', '857abt', '7pzu3n', '6um756', 'a9kssb', 'cuukh6', 'acn6co', 'cc4lve']",75
