id,summarized,text,length
hit:2_conv:4_uttr:2,0,"And thats something you should never do, good on you.",13
hit:2_conv:5_uttr:2,1,Just be prepared.,4
hit:4_conv:8_uttr:2,1,I am sorry to hear that.,7
hit:5_conv:11_uttr:2,0,"I work remotely, I wish that you could do something like that as well.",16
hit:7_conv:14_uttr:2,0,"Thats a sweet man, I hope you acknowledged his kind gesture.",14
hit:7_conv:15_uttr:2,0,What happened?,3
hit:10_conv:21_uttr:2,0,What happened for you to feel that way?,9
hit:11_conv:22_uttr:2,1,I hope no one got hurt.,7
hit:11_conv:23_uttr:2,1,I saw that game.,5
hit:13_conv:26_uttr:2,0,I felt sad and depressed due to my insecurities and felt rejected from society,14
hit:13_conv:27_uttr:2,0,"I'm not familiar with abseiling, but I'm glad that you felt good about it.",18
hit:14_conv:29_uttr:2,0,What kind of house are you building?,8
hit:15_conv:30_uttr:2,0,Why did you feel guilty for taking a drink?,10
hit:16_conv:33_uttr:2,0,"That is where I am still at, I am scared I will have regrets when I get older",19
hit:17_conv:34_uttr:2,0,what was the topic,4
hit:19_conv:39_uttr:2,0,That would be hard to do and take courage.,10
hit:20_conv:41_uttr:2,0,I was the same way.,6
hit:22_conv:44_uttr:2,1,"That is very inspiring, I'm glad you take the extra time.",14
hit:24_conv:48_uttr:2,0,"Awe how sweet, I bet those are good memories",10
hit:24_conv:49_uttr:2,1,That sounds like fun.,5
hit:25_conv:50_uttr:2,1,How helpful where the other people so that you could enjoy your trip?,14
hit:27_conv:54_uttr:2,0,What did you do?,5
hit:28_conv:56_uttr:2,0,Yeah it's really frustrating when they won't have more eople on.,14
hit:29_conv:58_uttr:2,0,And then what?,4
hit:30_conv:61_uttr:2,1,"Oh no, that's terrible.",7
hit:31_conv:63_uttr:2,1,whats your favorite food?,6
hit:32_conv:65_uttr:2,1,I only like yard work with the kids.,9
hit:36_conv:72_uttr:2,1,I don't know what you are talking about.,10
hit:37_conv:75_uttr:2,0,"Wao, that sound like a great strong realtionship you have with her, so glad to hear that!",20
