id,summarized,text,root,length
ckrwfr,0,Should I quit my new job?,quit,7
8uyjmx,0,Does hard work really ever pay off?,pay,8
hc3zct,0,Why does my brother never take my side?,take,9
9xwj30,1,How do you guys keep positive?,keep,7
lwpcig,0,How do I survive this situation?,survive,7
952ssp,1,Have you ever travelled alone to a foreign country?,travel,10
90340t,0,Can the winter’s handheld airship comprehend the topic?,comprehend,10
5xwle3,0,How much do you weigh?,weigh,6
60iq37,0,What are you having for lunch today?,have,8
6z7z0i,1,Anyone want to chat?,want,5
colazw,1,Anyone else experience this?,experience,5
djjl95,0,What do you find interesting?,find,6
ileu9a,0,Can you relate to this?,relate,6
6rkm58,0,How do you make friends as an adult?,make,9
6q04gs,0,How or why did you choose your career?,choose,9
7shb5s,0,Who knew deer were hooved doggos?,know,7
7du1dt,0,Should I attend graduation or nah?,attend,7
gkmajf,1,Will probably scroll Reddi a bit longer eh?,scroll,9
f4s9lb,0,"What makes you, you?",make,6
8574yj,1,Anyone else staying in tonight?,stay,6
q3m8zw,0,Was he telling me he needs money?,tell,8
7z3rud,0,What do you watch?,watch,5
93dtcl,0,"Introvert, extrovert, does it matter??",matter,9
d510ud,0,How can I stop being a “workaholic”?,stop,10
i7tqw3,1,When did you learn how to ride a bike?,learn,10
8o9fdg,0,Does anyone else hate Sundays?,hate,6
i3eq63,0,Let’s talk?,let,4
a3av5k,0,Are you looking forward to Christmas?,look,7
b5vdv8,0,What music are you guys currently listening to?,listen,9
63bt9e,1,Where do you want to go?,want,7
5oazka,0,Anyone wanna talk about their breakup experiences?,talk,8
5xe25j,0,What do you miss most about the 90s?,miss,9
8vvkj0,0,What's everyone doing today?,do,6
fm9sll,0,can I completely disregard my ethnicity forever?,disregard,8
bz37ky,0,Does anyone else overthink how their job interview went?,overthink,10
eqyv8p,0,How do you deal with rejection?,deal,7
8or0an,0,Whats your nightmare scenario?,s,6
gmsjrr,0,What should I study?,study,5
6au5ha,0,Anyone need to vent about something?,need,7
ih8rl2,0,What Newman’s Own product do you swear by?,swear,10
ae0r2b,1,Anyone want to chat abiut music?,want,7
oem242,0,Do smartphone notifications make you feel anxious?,make,8
fbz3o2,0,Did anything interesting happen to you today?,happen,8
6cgj0d,0,Friends Dad Singled Me Out?,single,6
9y4li8,0,What do YOU mean by watching TV?,mean,8
6qyruf,0,What should i ask for my birthday?,ask,8
gbclm7,0,Anyone wants to tell a funny drunk story?,want,9
i7f5lm,0,How can I overcome feeling guilty about buying stuff?,overcome,10
biymyf,1,Need someone to talk to?,need,6
hiarih,0,What should I learn?,learn,5
8deum2,0,Do you think you are an intelligent person?,think,9
f61yc8,0,Have you ever had a penpal?,have,7
eqoaa3,0,How do I respond?,respond,5
l3e5da,0,Which school should I pick for my semester exchange?,pick,10
9aja9n,0,Does anyone else just love memes so much??,meme,10
8rxwyr,0,Anyone else having trouble with unsupportive parents?,have,8
79et8b,0,How do you handle everything?,handle,6
a35o8m,0,Does anybody here know absolutely nothing about hair styling?,know,10
f526bx,0,When should I expect noticeable change ?,expect,7
dj9hyf,0,Who would you say makes the best nonslip shoes?,say,10
9sd20e,1,Anyone else feel this?,feel,5
7vqaiv,0,Would you change your sex for a day?,change,9
7hriun,1,What do the Greeks say?,say,6
8qy1r1,0,Anybody Else Unironically Dislike The Present Day?,dislike,8
73wnru,1,Anyone else experience this?,experience,5
c8b5wd,0,What’s going well for you right now?,go,9
qp2rxs,1,Anyone wanna talk?,talk,4
614yhh,0,How many squares of toilet paper do you use?,use,10
6zv1bf,0,Gaming pc recommendations?,game,4
7kuu2d,1,So how's everyone elses day going?,go,8
8xca3m,0,What do you like about people watching?,like,8
gsqoif,0,Has anyone played any good horror games recently?,play,9
djnxr0,1,Have you ever had hand surgery?,have,7
7g2lho,0,How many of you have deleted your Twitter accounts?,delete,10
kae2th,1,So when did you last climb a tree?,climb,9
gl7j5i,0,Do you drink tap water?,drink,6
in1py3,0,Do you feel nervous when you hear your ringtone?,feel,10
6qymac,0,Does coffee actually taste good?,taste,6
7ftg8y,0,What have you been thinking about recently?,think,8
9wk4cu,1,What's going right for you?,go,7
8m3hlm,0,Anyone else bothered by selfies?,bother,6
cx9fb7,1,How does your commute look like where you live?,look,10
8x8wca,0,Why not assume the best about friends’ intentions?,assume,10
6wn8d1,0,"I'm bored, whats your favourite song?",s,10
flu461,0,how has life changed for you?,change,7
hd1qcq,0,How many nuggets do yall usually order?,order,9
9yaw74,0,Whats the scummiest thing youve ever seen?,s,10
7ur2m5,0,How do I arrange a ring binder folder?,arrange,9
p6le7p,1,Anyone else gone through this?,go,6
8e61bt,0,What video games have you been playing this week?,play,10
75cos8,0,Do you think therapist lie to you?,think,8
ff2hek,0,So how’s your day going?,go,7
9xlqti,1,How's life treating you?,treat,6
6clcjr,0,How often do you watch movies?,watch,7
qda3na,0,Has anyone experienced this before?,experience,6
c25jn3,0,Have you ever had a ghost experience?,have,8
g40jwr,0,Do you eat potato skins on baked potatoes?,eat,9
8yrm5q,1,Cheesy or should candid photos be hung up?,hang,9
5uq5jr,0,What TV series are you currently enjoying?,enjoy,8
o0z3m4,1,Anybody know why that would happen?,know,7
