id,summarized,text,root,length
r2vbm3,0,Does pressing keyboard keys reflect your personality?,reflect,8
r2unhy,0,Need some socialization this week ☺️,need,7
r2tj6o,1,Quarter life crises starts now maybe haha?,start,8
r2sz0f,1,Do I want to get better?,want,7
r2sj5n,0,Should I drop them?,drop,5
r2rtv4,0,Got myself a new Monitor,get,5
r2rer6,0,Feeling a bit puzzled before my birthday.,feel,8
r2r2mi,1,Does anyone here work 2nd shift?,work,7
r2qq8o,0,Sometimes i think about just dissappearing,think,6
r2nylj,0,What keeps you calm when you are anxious?,keep,9
r2npa3,1,My post got auto deleted last time.,get,8
r2nmvy,0,Do you like Vulfpeck?,like,5
r2i9b1,0,Why do I lack the ability to hate people?,lack,10
r2dx3q,0,Looking to Talk About Anything,look,5
r29ig8,0,"I want a tough, obnoxious gf/wife",want,9
r21ioc,0,Spending Thanksgiving in a Dorm Room,spend,6
r20yh9,0,I suck at talking,suck,4
r20sqe,0,I love Christmas because I love giving gifts!,love,9
r1zudd,1,I hope that everyone has a marvelous day.,hope,9
r1zcsu,1,Having enough food and water.,have,6
r1z5f1,1,Do you speak a second language?,speak,7
r1xxzu,0,getting things done better when slightly under the influence,get,9
r1w5jr,0,"I tried to be smooth, I felt old instead",feel,10
r1vwzk,0,Let's talk about our thanksgiving days!,let,8
r1tw9i,0,Seasonal depression is kicking my ass,kick,6
r1pia3,1,It's Friday night; go get some alcohol.,go,10
r1pf6w,1,I Officially finished my FIRST university course!,finish,8
r1p9w7,0,"Man, I love The X-Files",love,8
r1p731,0,Anyone else working today?,work,5
r1p4ne,0,Falling through the cracks in the pandemic,fall,7
r1oynz,1,Anyone wanna accompany me?,accompany,5
r1oghn,0,I’m getting surgery today!,get,6
r1odzz,0,how to differentiate between needs and wants?,differentiate,8
r1o2h5,0,I survived the day before thanksgiving in retail!!,survive,10
r1nu1d,1,No biological clock seems like the greatest thing ever.,seem,10
r1nlpf,0,where would you hide his iPhone,hide,6
r1kuy9,1,Who would you like to see play each role?,like,10
r1kfom,0,Why do I feel detached from reality?,feel,8
r1cbe0,0,Wanting to socialize more...,want,5
r1bsve,0,I switched up my morning coffee,switch,6
r1b9g4,0,How do i become a more likable person?,become,9
r12hr4,0,What Workout Goals Look Like,look,5
r11z71,0,Where do you find “real” friends?,find,9
r11mcj,0,I just finished my assignments on time,finish,7
r108be,0,How does one size fit all?,fit,7
r0z19b,1,Reflect on your life.,reflect,5
r0xnzl,0,I love my neighbors,love,4
r0wfnm,0,How would your teenage self react to you now?,react,10
r0lbat,0,Someone bought me a drink today,buy,6
r0l2fo,0,i love how guys talk to eachother,love,7
r0h25v,0,I guess I'm gonna quit,guess,7
r0giqu,0,I finally got a job!,get,6
r0bqtu,1,I was craving something savory like a burger.,crave,9
r0bi9j,0,I’m meeting a stranger in person today!,meet,9
r0bguz,0,Should I try to contact my ex best friend?,try,10
r09qnz,0,Ever felt 2 different ways at once?,feel,8
r092ss,0,Honesty holds a great reward.,hold,6
r091bq,1,Meeting your online friend/partner.,meet,7
r08ve8,0,Did my dad just sleepwalk?!,sleepwalk,7
r01ea7,0,I think I broke my ear today?,think,8
qzks2w,0,How do you function with little sleep,function,7
qzklm9,0,I've watched 87 movies this year,watch,7
qzkjs9,0,Making friends?,make,3
qzhok6,0,I got into my dream college!,get,7
qzfbkd,1,I'm coasting through life.,coast,6
qzfady,0,How does everyone combat seasonal depression?,combat,7
qzegme,0,Burned by a “friend”,burn,6
qzee04,0,I love wearing my old PE uniform at home,love,9
qzdawy,1,I feel content.,feel,4
qzd4ei,0,I really love listening to music in different languages.,love,10
qzbnpp,0,Being around men make me feel uncomfortable,make,7
qzatyy,0,I created a boundary and stuck to it,create,8
qzasgm,0,Assumptions can lead to harm,lead,5
qz9vvw,1,I am changing my first name.,change,7
qz9s35,0,Why do canned goods include the water weight?,include,9
qz8rw6,0,I came up with a card trick,come,7
qz88h1,0,My former professor told me he loved me?,tell,9
qz815p,0,I’m tired of being poor,be,6
qz7309,1,Someone make this make sense to me.,make,8
qz46k7,0,How do you guys enjoy your time off?,enjoy,9
qz3vq8,1,Do I make a quick something?,make,7
qz3f13,0,Waiting for someone,wait,3
qz1or4,0,"Nobody knows you, and I think that's beautiful",know,10
qz1mfm,0,Needing some reassurance because I am terrified...,need,8
qz0uf8,0,I'm making my turkey today,make,6
qyv78y,0,I have just started watching Wes Anderson films,start,8
qyund4,0,Driving a car for the first time in years!,drive,10
qysfh4,0,Dating feedback,date,2
qyrjty,0,You guys wanna revive BO3?,revive,6
qyqj9g,0,22F looking for a friendly conversation,look,6
qyqah1,0,Whats so weird about writing a novel ?,s,9
qyor9e,0,I could really use some support and words of encouragement,use,10
qymm9q,0,I wish I would die in my sleep,wish,8
qygohy,0,"Brought her flowers, and she was super happy!",bring,10
qygmn1,0,I never wanted to be a celebrity,want,7
qygda4,0,"So, I want to talk to some Canadians...",want,10
qyc4ua,1,Having some kind of existential crisis?,have,7
qyc4la,0,I miss having a guy friend,miss,6
qybyzk,0,Can’t believe I met this amazing guy,believe,8
qybqby,0,I feel so rock and roll today man!,feel,9
qybdql,0,Covid booster dose,dose,3
qybckq,1,Mindless gaming and going through social media.,game,8
qy67kc,1,Any advice would be appreciated!,appreciate,6
qy181y,0,How has COVID-19 affected your life?,affect,7
qy107c,0,Another man complimented my voice,compliment,5
qy0ksy,0,i really miss my cat.,miss,6
